"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","series","view"
"26-ZHRE-L-RH1.txt","ZH_R_E_26_L","26","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"26-ZHRE-L-RH2.txt","ZH_R_E_26_L","26","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"27-ZHRF-L-LH1.txt","ZH_R_F_27_L","27","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"27-ZHRF-L-LH2.txt","ZH_R_F_27_L","27","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"27-ZHRF-L-RH1.txt","ZH_R_F_27_L","27","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"27-ZHRF-L-RH2.txt","ZH_R_F_27_L","27","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"27-ZHUB-P-LH1.txt","ZH_U_B_27_P","27","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"27-ZHUB-P-LH2.txt","ZH_U_B_27_P","27","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"27-ZHUB-P-RH1.txt","ZH_U_B_27_P","27","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"27-ZHUB-P-RH2.txt","ZH_U_B_27_P","27","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"28-ZHUA-P-LH1.txt","ZH_U_A_28_P","28","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"28-ZHUA-P-LH2.txt","ZH_U_A_28_P","28","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"28-ZHUA-P-RH1.txt","ZH_U_A_28_P","28","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"28-ZHUA-P-RH2.txt","ZH_U_A_28_P","28","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"30-ZHRF-P-LH1.txt","ZH_R_F_30_P","30","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"30-ZHRF-P-LH2.txt","ZH_R_F_30_P","30","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"30-ZHRF-P-RH1.txt","ZH_R_F_30_P","30","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"30-ZHRF-P-RH2.txt","ZH_R_F_30_P","30","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"31-ZHUA-L-LH1.txt","ZH_U_A_31_L","31","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"31-ZHUA-L-LH2.txt","ZH_U_A_31_L","31","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"31-ZHUA-L-RH1.txt","ZH_U_A_31_L","31","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"31-ZHUA-L-RH2.txt","ZH_U_A_31_L","31","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"33-ZHRF-P-LH1.txt","ZH_R_F_33_P","33","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"33-ZHRF-P-LH2.txt","ZH_R_F_33_P","33","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"33-ZHRF-P-RH1.txt","ZH_R_F_33_P","33","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"33-ZHRF-P-RH2.txt","ZH_R_F_33_P","33","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"34-ZHUC-P-LH1.txt","ZH_U_C_34_P","34","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"34-ZHUC-P-LH2.txt","ZH_U_C_34_P","34","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"34-ZHUC-P-RH1.txt","ZH_U_C_34_P","34","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"34-ZHUC-P-RH2.txt","ZH_U_C_34_P","34","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
