"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_U_C_04_L",1.00011982417758,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_06_L",1.00006071210583,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_08_L",1.00013980202584,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_09_L",1.00008357297696,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_12_L",1.00011169477524,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_13_L",1.00019255082019,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_14_L",1.00013310131158,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_18_L",1.00013890129962,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_19_L",1.00011356018366,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_21_L",1.00011326548101,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_23_L",1.00007458047016,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_24_L",1.0000759851996,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_25_L",1.00006771472877,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_26_L",1.0000830298276,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_27_L",1.00004130049099,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_28_L",1.00014413731948,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_29_L",1.00013478480787,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_31_L",1.00010746242426,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_32_L",1.00004866531187,"Urban","Bombus lapidarius","ZH-C"
