"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"06-ZHRE-L-RF1.txt","ZH_R_E_06_L","06","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"06-ZHRF-L-LF1_rep.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,2
"06-ZHRF-L-LF1.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"06-ZHRF-L-LF2.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,1
"06-ZHRF-L-RF1_rep.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,2
"06-ZHRF-L-RF1.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"06-ZHRF-L-RF2.txt","ZH_R_F_06_L","06","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,1
"06-ZHUC-L-LF1.txt","ZH_U_C_06_L","06","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"06-ZHUC-L-RF1.txt","ZH_U_C_06_L","06","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"07-ZHRD-L-LF1.txt","ZH_R_D_07_L","07","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"07-ZHRD-L-RF1.txt","ZH_R_D_07_L","07","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"07-ZHRF-L-LF1.txt","ZH_R_F_07_L","07","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"07-ZHRF-L-RF1.txt","ZH_R_F_07_L","07","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"07-ZHUB-L-LF1_rep.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"07-ZHUB-L-LF1.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"07-ZHUB-L-LF2.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
